ID;Matvare;Kilojoule;Kilokalorier;Fett;Omega-3;Kolesterol;Karbohydrat;Sukker, tilsatt;Kostfiber;Protein;Salt;Jern
1;Geitmelk, langtidsholdbar;254;61;3,6;0,02;11;4;0;0;3,1;0,1;0,1
2;Helmelk, 3,5 % fett, laktosefri;237;57;3,5;0,02;10;3;0;0;3,3;0,1;0
3;Helmelk, 3,5 % fett, Tine;264;63;3,5;0,02;10;4,5;0;0;3,4;0,1;0
4;Helmelk, 3,9 % fett, Q-meieriene;278;67;3,9;0,02;10;4,6;0;0;3,3;0,1;0
5;Helmelk, 4,1 % fett, �kologisk;284;68;4,1;0,02;11;4,5;0;0;3,3;0,1;0
6;Helmelk, uspesifisert;267;64;3,6;0,02;10;4,5;0;0;3,4;0,1;0
7;Kaffemelk, 3,5 % fett;260;62;3,5;0,02;10;4,4;0;0;3,3;0,1;0
8;Kakao, med lettmelk, tilberedt;365;87;2,3;0,02;6;12;7;1;4;0,1;0,5
9;Lettmelk, 0,5 % fett, vitamin D, laktosefri;131;31;0,5;0;1;3,1;0;0;3,5;0,1;0
10;Lettmelk, 0,5 % fett, vitamin D, Q-meieriene;156;37;0,5;0;1;4,6;0;0;3,5;0,1;0
11;Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert;162;38;0,7;0;2;4,5;0;0;3,5;0,1;0
12;Lettmelk, 0,7 % fett, vitamin D, Tine;162;38;0,7;0;2;4,5;0;0;3,5;0,1;0
13;Lettmelk, 0,7 % fett, �kologisk;164;39;0,7;0;2;4,7;0;0;3,4;0,1;0
14;Lettmelk, 1,0 % fett, laktosefri;149;35;1;0,01;3;3,1;0;0;3,5;0,1;0
15;Lettmelk, 1,0 % fett, laktoseredusert;173;41;1;0,01;3;4,5;0;0;3,5;0,1;0
16;Lettmelk, 1,0 % fett, Q-meieriene;175;41;1;0;3;4,6;0;0;3,5;0,1;0
17;Lettmelk, 1,0 % fett, Tine;173;41;1;0,01;3;4,5;0;0;3,5;0,1;0
18;Lettmelk, 1,2 % fett, langtidsholdbar;180;43;1,2;0,01;3;4,7;0;0;3,3;0,1;0
19;Lettmelk, 1,2 % fett, �kologisk;182;43;1,2;0,01;3;4,7;0;0;3,4;0,1;0
20;Lettmelk, 1-1,2 % fett, uspesifisert;180;43;1,2;0,01;3;4,5;0;0;3,5;0,1;0
21;Lettmelk, kakao, vitamin D, skolemelk;183;43;0,8;0;2;4,6;0;2;3,6;0,1;0,4
22;Lettmelk, uspesifisert;173;41;1;0;3;4,5;0;0;3,5;0,1;0
23;Melk, uspesifisert;188;45;1,4;0,01;4;4,5;0;0;3,5;0,1;0
24;Milkshake, jordb�rsmak;300;71;1,4;0,01;4;10,6;4,4;0;4;0,2;0
25;Milkshake, sjokoladesmak;332;79;1,5;0,01;4;12,1;4,8;0,2;4,1;0,4;0,3
26;Sjokolademelk, av pulver og lettmelk;296;70;1,6;0,02;6;10,3;5,6;0,5;3,4;0,1;0,2
27;Sjokolademelk, laktosefri, uten tilsatt sukker, Litago Uten;199;47;1,2;0,01;3;4,5;0;2,1;3,6;0,1;0,4
28;Sjokolademelk, laktoseredusert, Litago;199;47;1,2;0,01;3;4,5;0;2,1;3,6;0,1;0,4
29;Sjokolademelk, Sjokomelk;251;59;1,2;0,01;3;8,7;4,1;0,3;3,3;0,1;0,4
30;Sjokolademelk, Styrk Kakao;197;46;0,2;0;0;5,6;1;0,4;5,4;0,1;0,4
31;Skummet melk, Styrk;172;40;0,1;0;0;4,6;0;0;5,3;0,1;0
32;Skummet melk, Tine;140;33;0,1;0;0;4,5;0;0;3,5;0,1;0
33;Syrnet melk, bl�b�r, laktosefri, Biola;218;51;0,1;0;0;9,6;4,7;0,1;3;0,1;0
34;Syrnet melk, bl�b�r, mager, Biola;213;50;0,1;0;0;9,3;4,7;0;3;0,1;0
35;Syrnet melk, bl�b�r/bringeb�r, BioQ;238;56;0,1;0;0;10,3;5;1,3;2,9;0,2;0
36;Syrnet melk, bringeb�r, Biola;216;51;0,1;0;0;9,4;4,9;0;3,1;0,1;0,1
